"";"pais";"año";"estimacion"
"1";"Alemania";"2018";6328
"2";"Alemania";"2019";6906
"3";"Alemania";"2020";6738
"4";"Alemania";"2021";6739
"5";"Alemania";"2022";6913
"6";"Argentina";"2018";73840
"7";"Argentina";"2019";76307
"8";"Argentina";"2020";77796
"9";"Argentina";"2021";79239
"10";"Argentina";"2022";79335
"11";"Bolivia";"2018";109576
"12";"Bolivia";"2019";121652
"13";"Bolivia";"2020";127430
"14";"Bolivia";"2021";138184
"15";"Bolivia";"2022";148059
"16";"Brasil";"2018";17430
"17";"Brasil";"2019";18478
"18";"Brasil";"2020";19106
"19";"Brasil";"2021";19825
"20";"Brasil";"2022";20235
"21";"China";"2018";13374
"22";"China";"2019";14102
"23";"China";"2020";13975
"24";"China";"2021";14229
"25";"China";"2022";14058
"26";"Colombia";"2018";153076
"27";"Colombia";"2019";167534
"28";"Colombia";"2020";170304
"29";"Colombia";"2021";184127
"30";"Colombia";"2022";189524
"31";"Cuba";"2018";15696
"32";"Cuba";"2019";18010
"33";"Cuba";"2020";19357
"34";"Cuba";"2021";19515
"35";"Cuba";"2022";19068
"36";"Ecuador";"2018";37478
"37";"Ecuador";"2019";40164
"38";"Ecuador";"2020";40755
"39";"Ecuador";"2021";43544
"40";"Ecuador";"2022";44565
"41";"España";"2018";18480
"42";"España";"2019";19039
"43";"España";"2020";19385
"44";"España";"2021";19303
"45";"España";"2022";19386
"46";"Estados unidos";"2018";14510
"47";"Estados unidos";"2019";15013
"48";"Estados unidos";"2020";14221
"49";"Estados unidos";"2021";14837
"50";"Estados unidos";"2022";14814
"51";"Francia";"2018";6271
"52";"Francia";"2019";6478
"53";"Francia";"2020";6711
"54";"Francia";"2021";6749
"55";"Francia";"2022";6815
"56";"Haití";"2018";179091
"57";"Haití";"2019";180537
"58";"Haití";"2020";182039
"59";"Haití";"2021";182426
"60";"Haití";"2022";184721
"61";"Italia";"2018";4619
"62";"Italia";"2019";4801
"63";"Italia";"2020";4814
"64";"Italia";"2021";4852
"65";"Italia";"2022";4851
"66";"México";"2018";6887
"67";"México";"2019";7350
"68";"México";"2020";7608
"69";"México";"2021";7684
"70";"México";"2022";7724
"71";"Otro país";"2018";40727
"72";"Otro país";"2019";43043
"73";"Otro país";"2020";43471
"74";"Otro país";"2021";44172
"75";"Otro país";"2022";44605
"76";"Paraguay";"2018";5434
"77";"Paraguay";"2019";5906
"78";"Paraguay";"2020";6108
"79";"Paraguay";"2021";6404
"80";"Paraguay";"2022";6379
"81";"País ignorado";"2018";3644
"82";"País ignorado";"2019";3833
"83";"País ignorado";"2020";3948
"84";"País ignorado";"2021";4235
"85";"País ignorado";"2022";4523
"86";"Perú";"2018";227480
"87";"Perú";"2019";235580
"88";"Perú";"2020";240928
"89";"Perú";"2021";250485
"90";"Perú";"2022";250908
"91";"R. Dominicana";"2018";17848
"92";"R. Dominicana";"2019";19155
"93";"R. Dominicana";"2020";19197
"94";"R. Dominicana";"2021";19290
"95";"R. Dominicana";"2022";19632
"96";"Uruguay";"2018";5861
"97";"Uruguay";"2019";6125
"98";"Uruguay";"2020";6233
"99";"Uruguay";"2021";6260
"100";"Uruguay";"2022";6244
"101";"Venezuela";"2018";342355
"102";"Venezuela";"2019";464717
"103";"Venezuela";"2020";471871
"104";"Venezuela";"2021";492061
"105";"Venezuela";"2022";532715
